series,timestamp,value,label,another_value,other_value
series_a,2019-01-14T21:56:37.000Z,14.8125,,-0.027,0.379
series_a,2019-01-14T22:01:37.000Z,14.8125,,-0.856,0.092
series_a,2019-01-14T22:06:37.000Z,14.875,,-0.898,0.323
series_a,2019-01-14T22:11:37.000Z,15.0,,-0.115,0.402
series_a,2019-01-14T22:16:37.000Z,14.8125,,0.774,0.815
series_a,2019-01-14T22:21:37.000Z,14.8125,,0.951,0.616
series_a,2019-01-14T22:26:37.000Z,14.8125,,0.254,0.756
series_a,2019-01-14T22:31:37.000Z,14.5,,-0.677,0.857
series_a,2019-01-14T22:36:37.000Z,14.375,,-0.985,0.327
series_a,2019-01-14T22:41:37.000Z,14.25,,-0.388,0.829
series_a,2019-01-14T22:46:37.000Z,14.125,,0.566,0.362
series_a,2019-01-14T22:51:37.000Z,13.875,,1.0,0.271
series_a,2019-01-14T22:56:37.000Z,13.8125,,0.514,0.559
series_a,2019-01-14T23:01:37.000Z,13.6875,,-0.444,0.612
series_a,2019-01-14T23:06:37.000Z,13.6875,,-0.994,0.88
series_a,2019-01-14T23:11:37.000Z,13.375,,-0.63,0.662
series_a,2019-01-14T23:16:37.000Z,13.4375,,0.313,0.76
series_a,2019-01-14T23:21:37.000Z,13.25,,0.968,0.849
series_a,2019-01-14T23:26:37.000Z,13.3125,,0.733,0.03
series_a,2019-01-14T23:31:37.000Z,13.0625,,-0.176,0.203
series_a,2019-01-14T23:36:37.000Z,13.25,,-0.923,0.457
series_a,2019-01-14T23:41:37.000Z,13.1875,,-0.822,0.558
series_a,2019-01-14T23:46:37.000Z,13.125,,0.035,0.041
series_a,2019-01-14T23:51:37.000Z,12.875,,0.86,0.835
series_a,2019-01-14T23:56:37.000Z,12.9375,,0.894,0.961
series_a,2019-01-15T00:01:37.000Z,13.0625,,0.106,0.421
series_a,2019-01-15T00:06:37.000Z,13.0,,-0.779,0.831
series_a,2019-01-15T00:11:37.000Z,13.0625,,-0.948,0.894
series_a,2019-01-15T00:16:37.000Z,12.625,,-0.245,0.094
series_a,2019-01-15T00:21:37.000Z,12.6875,,0.683,0.074
series_a,2019-01-15T00:26:37.000Z,13.375,,0.984,0.066
series_a,2019-01-15T00:31:37.000Z,13.4375,,0.38,0.598
series_a,2019-01-15T00:36:37.000Z,13.375,,-0.573,0.398
series_a,2019-01-15T00:41:37.000Z,13.3125,,-0.999,0.346
series_a,2019-01-15T00:46:37.000Z,13.625,,-0.506,0.485
series_a,2019-01-15T00:51:37.000Z,13.75,,0.452,0.906
series_a,2019-01-15T00:56:37.000Z,13.875,,0.995,0.563
series_a,2019-01-15T01:01:37.000Z,13.9375,,0.623,0.373
series_a,2019-01-15T01:06:37.000Z,14.0,,-0.322,0.643
series_a,2019-01-15T01:11:37.000Z,13.75,,-0.971,0.348
series_a,2019-01-15T01:16:37.000Z,13.9375,,-0.727,0.18
series_a,2019-01-15T01:21:37.000Z,14.0,,0.185,0.404
series_a,2019-01-15T01:26:37.000Z,13.9375,,0.927,0.688
series_a,2019-01-15T01:31:37.000Z,13.5625,,0.817,0.778
series_a,2019-01-15T01:36:37.000Z,13.8125,,-0.044,0.174
series_a,2019-01-15T01:41:37.000Z,13.875,,-0.865,0.056
series_a,2019-01-15T01:46:37.000Z,13.1875,,-0.89,0.347
series_a,2019-01-15T01:51:37.000Z,12.5,,-0.097,0.263
series_a,2019-01-15T01:56:37.000Z,12.375,,0.785,0.453
series_a,2019-01-15T02:01:37.000Z,12.375,,0.945,0.423
series_a,2019-01-15T02:06:37.000Z,12.3125,,0.237,0.87
series_a,2019-01-15T02:11:37.000Z,11.9375,,-0.69,0.399
series_a,2019-01-15T02:16:37.000Z,11.375,,-0.982,0.094
series_a,2019-01-15T02:21:37.000Z,11.0,,-0.371,0.538
series_a,2019-01-15T02:26:37.000Z,11.1875,,0.581,0.8
series_a,2019-01-15T02:31:37.000Z,11.0625,,0.999,0.976
series_a,2019-01-15T02:36:37.000Z,11.0625,,0.499,0.582
series_a,2019-01-15T02:41:37.000Z,11.25,,-0.46,0.038
series_a,2019-01-15T02:46:37.000Z,11.25,,-0.996,0.673
series_a,2019-01-15T02:51:37.000Z,11.125,,-0.616,0.409
series_a,2019-01-15T02:56:37.000Z,10.625,,0.33,0.319
series_a,2019-01-15T03:01:37.000Z,10.4375,,0.973,0.501
series_a,2019-01-15T03:06:37.000Z,10.1875,,0.721,0.914
series_a,2019-01-15T03:11:37.000Z,9.875,,-0.193,0.866
series_a,2019-01-15T03:16:37.000Z,10.0625,,-0.93,0.438
series_a,2019-01-15T03:21:37.000Z,9.875,,-0.812,0.913
series_a,2019-01-15T03:26:37.000Z,9.6875,,0.053,0.428
series_a,2019-01-15T03:31:37.000Z,9.5625,,0.869,0.422
series_a,2019-01-15T03:36:37.000Z,9.625,,0.886,0.137
series_a,2019-01-15T03:41:37.000Z,9.375,,0.088,0.585
series_a,2019-01-15T03:46:37.000Z,9.4375,,-0.79,0.21
series_a,2019-01-15T03:51:37.000Z,9.25,,-0.943,0.27
series_a,2019-01-15T03:56:37.000Z,9.4375,,-0.228,0.45
series_a,2019-01-15T04:01:37.000Z,9.8125,,0.696,0.271
series_a,2019-01-15T04:06:37.000Z,9.5,,0.98,0.231
series_a,2019-01-15T04:11:37.000Z,9.4375,,0.363,0.592
series_a,2019-01-15T04:16:37.000Z,9.4375,,-0.588,0.842
series_a,2019-01-15T04:21:37.000Z,9.375,,-0.998,0.347
series_a,2019-01-15T04:26:37.000Z,9.25,,-0.491,0.263
series_a,2019-01-15T04:31:37.000Z,9.3125,,0.468,0.747
series_a,2019-01-15T04:36:37.000Z,9.375,,0.996,0.354
series_a,2019-01-15T04:41:37.000Z,9.3125,,0.609,0.432
series_a,2019-01-15T04:46:37.000Z,9.4375,,-0.338,0.424
series_a,2019-01-15T04:51:37.000Z,9.375,,-0.975,0.137
series_a,2019-01-15T04:56:37.000Z,9.375,,-0.715,0.574
series_a,2019-01-15T05:01:37.000Z,9.3125,,0.202,0.428
series_a,2019-01-15T05:06:37.000Z,9.4375,,0.933,0.776
series_a,2019-01-15T05:11:37.000Z,9.6875,,0.806,0.013
series_a,2019-01-15T05:16:37.000Z,9.5625,,-0.062,0.263
series_a,2019-01-15T05:21:37.000Z,9.5,,-0.873,0.385
series_a,2019-01-15T05:26:37.000Z,9.375,,-0.882,0.194
series_a,2019-01-15T05:31:37.000Z,9.3125,,-0.08,0.42
series_a,2019-01-15T05:36:37.000Z,9.3125,,0.796,0.361
series_a,2019-01-15T05:41:37.000Z,9.25,,0.94,0.983
series_a,2019-01-15T05:46:37.000Z,9.0625,,0.219,0.3
series_a,2019-01-15T05:51:37.000Z,9.0,,-0.702,0.316
series_a,2019-01-15T05:56:37.000Z,9.0625,,-0.978,0.362
series_a,2019-01-15T06:01:37.000Z,9.0,,-0.355,0.112
series_a,2019-01-15T06:06:37.000Z,9.1875,,0.595,0.331
series_a,2019-01-15T06:11:37.000Z,9.125,,0.998,0.339
series_a,2019-01-15T06:16:37.000Z,9.0625,,0.483,0.282
series_a,2019-01-15T06:21:37.000Z,9.0,,-0.476,0.212
series_a,2019-01-15T06:26:37.000Z,9.125,,-0.997,0.924
series_a,2019-01-15T06:31:37.000Z,9.125,,-0.602,0.2
series_a,2019-01-15T06:36:37.000Z,9.1875,,0.347,0.3
series_a,2019-01-15T06:41:37.000Z,9.1875,,0.977,0.868
series_a,2019-01-15T06:46:37.000Z,8.9375,,0.709,0.101
series_a,2019-01-15T06:51:37.000Z,9.0,,-0.211,0.258
series_a,2019-01-15T06:56:37.000Z,8.8125,,-0.936,0.71
series_a,2019-01-15T07:01:37.000Z,9.0,,-0.801,0.918
series_a,2019-01-15T07:06:37.000Z,9.3125,,0.071,0.394
series_a,2019-01-15T07:11:37.000Z,9.0,,0.878,0.784
series_a,2019-01-15T07:16:37.000Z,9.3125,,0.878,0.082
series_a,2019-01-15T07:21:37.000Z,9.25,,0.071,0.771
series_a,2019-01-15T07:26:37.000Z,9.125,,-0.801,0.061
series_a,2019-01-15T07:31:37.000Z,9.1875,,-0.936,0.135
series_a,2019-01-15T07:36:37.000Z,9.1875,,-0.211,0.233
series_a,2019-01-15T07:41:37.000Z,9.0625,,0.709,0.144
series_a,2019-01-15T07:46:37.000Z,9.0,,0.977,0.749
series_a,2019-01-15T07:51:37.000Z,8.9375,,0.347,0.353
series_a,2019-01-15T07:56:37.000Z,9.0625,,-0.602,0.938
series_a,2019-01-15T08:01:37.000Z,9.0,,-0.997,0.735
series_a,2019-01-15T08:06:37.000Z,8.6875,,-0.476,0.872
series_a,2019-01-15T08:11:37.000Z,8.875,,0.483,0.695
series_a,2019-01-15T08:16:37.000Z,8.8125,,0.998,0.037
series_a,2019-01-15T08:21:37.000Z,8.625,,0.595,0.036
series_a,2019-01-15T08:26:37.000Z,9.0625,,-0.355,0.802
series_a,2019-01-15T08:31:37.000Z,8.625,,-0.978,0.431
series_a,2019-01-15T08:36:37.000Z,9.0625,,-0.702,0.872
series_a,2019-01-15T08:41:37.000Z,8.75,,0.219,0.44
series_a,2019-01-15T08:46:37.000Z,8.5625,,0.94,0.718
series_a,2019-01-15T08:51:37.000Z,8.8125,,0.796,0.825
series_a,2019-01-15T08:56:37.000Z,8.6875,,-0.08,0.462
series_a,2019-01-15T09:01:37.000Z,8.8125,,-0.882,0.16
series_a,2019-01-15T09:06:37.000Z,8.6875,,-0.873,0.229
series_a,2019-01-15T09:11:37.000Z,8.5,,-0.062,0.694
series_a,2019-01-15T09:16:37.000Z,8.625,,0.806,0.391
series_a,2019-01-15T09:21:37.000Z,8.625,,0.933,0.784
series_a,2019-01-15T09:26:37.000Z,8.6875,,0.202,0.817
series_a,2019-01-15T09:31:37.000Z,8.5625,,-0.715,0.903
series_a,2019-01-15T09:36:37.000Z,8.4375,,-0.975,0.946
series_a,2019-01-15T09:41:37.000Z,8.1875,,-0.338,0.654
series_a,2019-01-15T09:46:37.000Z,8.0625,,0.609,0.64
series_a,2019-01-15T09:51:37.000Z,8.0,,0.996,0.167
series_a,2019-01-15T09:56:37.000Z,8.3125,,0.468,0.912
series_a,2019-01-15T10:01:37.000Z,8.4375,,-0.491,0.367
series_a,2019-01-15T10:06:37.000Z,8.5625,,-0.998,0.899
series_a,2019-01-15T10:11:37.000Z,8.4375,,-0.588,0.497
series_a,2019-01-15T10:16:37.000Z,8.6875,,0.363,0.836
series_a,2019-01-15T10:21:37.000Z,8.5,,0.98,0.778
series_a,2019-01-15T10:26:37.000Z,8.625,,0.696,0.437
series_a,2019-01-15T10:31:37.000Z,8.875,,-0.228,0.943
series_a,2019-01-15T10:36:37.000Z,9.0,,-0.943,0.112
series_a,2019-01-15T10:41:37.000Z,8.9375,,-0.79,0.64
series_a,2019-01-15T10:46:37.000Z,9.0625,,0.088,0.849
series_a,2019-01-15T10:51:37.000Z,9.5,,0.886,0.765
series_a,2019-01-15T10:56:37.000Z,18.75,,0.869,0.891
series_a,2019-01-15T11:01:37.000Z,62.5625,foo,0.053,0.251
series_a,2019-01-15T11:06:37.000Z,119.9375,foo,-0.812,0.854
series_a,2019-01-15T11:11:37.000Z,114.375,foo,-0.93,0.213
series_a,2019-01-15T11:16:37.000Z,122.1875,foo,-0.193,0.351
series_a,2019-01-15T11:21:37.000Z,102.625,foo,0.721,0.585
series_a,2019-01-15T11:26:37.000Z,109.5625,foo,0.973,0.565
series_a,2019-01-15T11:31:37.000Z,105.5625,foo,0.33,0.977
series_a,2019-01-15T11:36:37.000Z,133.375,foo,-0.616,0.053
series_a,2019-01-15T11:41:37.000Z,124.625,foo,-0.996,0.716
series_a,2019-01-15T11:46:37.000Z,121.25,foo,-0.46,0.564
series_a,2019-01-15T11:51:37.000Z,100.875,foo,0.499,0.05
series_a,2019-01-15T11:56:37.000Z,95.25,foo,0.999,0.532
series_a,2019-01-15T12:01:37.000Z,94.25,foo,0.581,0.392
series_a,2019-01-15T12:06:37.000Z,111.0625,foo,-0.371,0.992
series_a,2019-01-15T12:11:37.000Z,101.625,foo,-0.982,0.692
series_a,2019-01-15T12:16:37.000Z,95.6875,foo,-0.69,0.467
series_a,2019-01-15T12:21:37.000Z,90.75,foo,0.237,0.915
series_a,2019-01-15T12:26:37.000Z,86.75,foo,0.945,0.31
series_a,2019-01-15T12:31:37.000Z,83.25,foo,0.785,0.742
series_a,2019-01-15T12:36:37.000Z,80.625,foo,-0.097,0.399
series_a,2019-01-15T12:41:37.000Z,75.0625,foo,-0.89,0.791
series_a,2019-01-15T12:46:37.000Z,70.875,foo,-0.865,0.841
series_a,2019-01-15T12:51:37.000Z,65.1875,foo,-0.044,0.652
series_a,2019-01-15T12:56:37.000Z,62.25,foo,0.817,0.401
series_a,2019-01-15T13:01:37.000Z,58.0,foo,0.927,0.523
series_a,2019-01-15T13:06:37.000Z,55.75,foo,0.185,0.565
series_a,2019-01-15T13:11:37.000Z,53.0625,foo,-0.727,0.203
series_a,2019-01-15T13:16:37.000Z,49.3125,foo,-0.971,0.174
series_a,2019-01-15T13:21:37.000Z,47.9375,,-0.322,0.841
series_a,2019-01-15T13:26:37.000Z,45.875,,0.623,0.321
series_a,2019-01-15T13:31:37.000Z,42.375,,0.995,0.635
series_a,2019-01-15T13:36:37.000Z,40.9375,,0.452,0.314
series_a,2019-01-15T13:41:37.000Z,38.5,,-0.506,0.986
series_a,2019-01-15T13:46:37.000Z,35.6875,,-0.999,0.965
series_a,2019-01-15T13:51:37.000Z,35.75,,-0.573,0.036
series_a,2019-01-15T13:56:37.000Z,35.125,,0.38,0.714
series_a,2019-01-15T14:01:37.000Z,33.0625,,0.984,0.863
series_a,2019-01-15T14:06:37.000Z,32.625,,0.683,0.931
series_a,2019-01-15T14:11:37.000Z,31.125,,-0.245,0.957
series_a,2019-01-15T14:16:37.000Z,29.625,,-0.948,0.743
series_a,2019-01-15T14:21:37.000Z,28.5625,,-0.779,0.704
series_a,2019-01-15T14:26:37.000Z,27.125,,0.106,0.655
series_a,2019-01-15T14:31:37.000Z,26.9375,,0.894,0.33
series_a,2019-01-15T14:36:37.000Z,26.25,,0.86,0.203
series_a,2019-01-15T14:41:37.000Z,24.875,,0.035,0.992
series_a,2019-01-15T14:46:37.000Z,25.125,,-0.822,0.771
series_a,2019-01-15T14:51:37.000Z,23.875,,-0.923,0.639
series_a,2019-01-15T14:56:37.000Z,23.4375,,-0.176,0.565
series_a,2019-01-15T15:01:37.000Z,23.0625,,0.733,0.326
series_a,2019-01-15T15:06:37.000Z,22.875,,0.968,0.865
series_a,2019-01-15T15:11:37.000Z,23.3125,,0.313,0.467
series_a,2019-01-15T15:16:37.000Z,23.5,,-0.63,0.78
series_a,2019-01-15T15:21:37.000Z,24.5,,-0.994,0.136
series_a,2019-01-15T15:26:37.000Z,25.0,,-0.444,0.635
series_a,2019-01-15T15:31:37.000Z,25.25,,0.514,0.947
series_a,2019-01-15T15:36:37.000Z,23.8125,,1.0,0.675
series_a,2019-01-15T15:41:37.000Z,24.125,,0.566,0.758
series_a,2019-01-15T15:46:37.000Z,23.25,,-0.388,0.015
series_a,2019-01-15T15:51:37.000Z,23.5,,-0.985,0.505
series_a,2019-01-15T15:56:37.000Z,24.375,,-0.677,0.031
series_a,2019-01-15T16:01:37.000Z,24.125,,0.254,0.428
series_a,2019-01-15T16:06:37.000Z,25.125,,0.951,0.864
series_a,2019-01-15T16:11:37.000Z,25.4375,,0.774,0.837
series_a,2019-01-15T16:16:37.000Z,25.1875,,-0.115,0.333
series_a,2019-01-15T16:21:37.000Z,25.625,,-0.898,0.986
series_a,2019-01-15T16:26:37.000Z,23.5625,,-0.856,0.114
series_a,2019-01-15T16:31:37.000Z,25.25,,-0.027,0.632
series_a,2019-01-15T16:36:37.000Z,25.25,,0.827,0.71
series_a,2019-01-15T16:41:37.000Z,25.125,,0.92,0.084
series_a,2019-01-15T16:46:37.000Z,25.75,,0.167,0.671
series_a,2019-01-15T16:51:37.000Z,25.4375,,-0.739,0.076
series_a,2019-01-15T16:56:37.000Z,25.375,,-0.966,0.677
series_a,2019-01-15T17:01:37.000Z,25.375,,-0.305,0.679
series_a,2019-01-15T17:06:37.000Z,25.8125,,0.637,0.782
series_a,2019-01-15T17:11:37.000Z,25.5,,0.993,0.318
series_a,2019-01-15T17:16:37.000Z,25.8125,,0.436,0.827
series_a,2019-01-15T17:21:37.000Z,25.875,,-0.522,0.433
series_a,2019-01-15T17:26:37.000Z,26.375,,-1.0,0.06
series_a,2019-01-15T17:31:37.000Z,25.875,,-0.559,0.645
series_a,2019-01-15T17:36:37.000Z,25.25,,0.396,0.325
series_a,2019-01-15T17:41:37.000Z,25.75,,0.987,0.539
series_a,2019-01-15T17:46:37.000Z,26.375,,0.67,0.405
series_a,2019-01-15T17:51:37.000Z,25.9375,,-0.262,0.023
series_a,2019-01-15T17:56:37.000Z,26.75,,-0.954,0.132
series_a,2019-01-15T18:01:37.000Z,26.375,,-0.768,0.117
series_a,2019-01-15T18:06:37.000Z,26.3125,,0.124,0.51
series_a,2019-01-15T18:11:37.000Z,25.375,,0.902,0.677
series_a,2019-01-15T18:16:37.000Z,25.25,,0.851,0.286
series_a,2019-01-15T18:21:37.000Z,25.125,,0.018,0.016
series_a,2019-01-15T18:26:37.000Z,25.0625,,-0.832,0.515
series_a,2019-01-15T18:31:37.000Z,25.375,,-0.917,0.133
series_a,2019-01-15T18:36:37.000Z,25.3125,,-0.159,0.553
series_a,2019-01-15T18:41:37.000Z,24.3125,,0.745,0.95
series_a,2019-01-15T18:46:37.000Z,24.1875,,0.964,0.07
series_a,2019-01-15T18:51:37.000Z,23.3125,,0.296,0.151
series_a,2019-01-15T18:56:37.000Z,22.75,,-0.644,0.559
series_a,2019-01-15T19:01:37.000Z,22.4375,,-0.992,0.254
series_a,2019-01-15T19:06:37.000Z,21.5,,-0.428,0.359
series_a,2019-01-15T19:11:37.000Z,21.5,,0.529,0.54
series_a,2019-01-15T19:16:37.000Z,20.9375,,1.0,0.219
series_a,2019-01-15T19:21:37.000Z,21.0,,0.551,0.97
series_a,2019-01-15T19:26:37.000Z,20.8125,,-0.404,0.335
series_a,2019-01-15T19:31:37.000Z,20.3125,,-0.988,0.2
series_a,2019-01-15T19:36:37.000Z,19.8125,,-0.664,0.12
series_a,2019-01-15T19:41:37.000Z,19.875,,0.271,0.373
series_a,2019-01-15T19:46:37.000Z,19.375,,0.956,0.927
series_a,2019-01-15T19:51:37.000Z,18.9375,,0.763,0.634
series_a,2019-01-15T19:56:37.000Z,18.625,,-0.132,0.579
series_a,2019-01-15T20:01:37.000Z,18.4375,,-0.906,0.345
series_a,2019-01-15T20:06:37.000Z,18.3125,,-0.846,0.106
series_a,2019-01-15T20:11:37.000Z,18.3125,,-0.009,0.066
series_a,2019-01-15T20:16:37.000Z,17.6875,,0.837,0.14
series_a,2019-01-15T20:21:37.000Z,17.625,,0.913,0.994
series_a,2019-01-15T20:26:37.000Z,17.375,,0.15,0.987
series_a,2019-01-15T20:31:37.000Z,17.1875,,-0.751,0.767
series_a,2019-01-15T20:36:37.000Z,17.125,,-0.961,0.945
series_a,2019-01-15T20:41:37.000Z,17.1875,,-0.288,0.34
series_a,2019-01-15T20:46:37.000Z,17.0625,,0.65,0.535
series_a,2019-01-15T20:51:37.000Z,17.125,,0.991,0.479
series_a,2019-01-15T20:56:37.000Z,17.0625,,0.42,0.547
series_a,2019-01-15T21:01:37.000Z,16.875,,-0.537,0.642
series_a,2019-01-15T21:06:37.000Z,16.875,,-1.0,0.928
series_a,2019-01-15T21:11:37.000Z,16.75,,-0.544,0.923
series_a,2019-01-15T21:16:37.000Z,16.875,,0.412,0.088
series_a,2019-01-15T21:21:37.000Z,17.0,,0.989,0.437
series_a,2019-01-15T21:26:37.000Z,16.6875,,0.657,0.952
series_a,2019-01-15T21:31:37.000Z,16.6875,,-0.279,0.412
series_a,2019-01-15T21:36:37.000Z,17.0625,,-0.959,0.903
series_a,2019-01-15T21:41:37.000Z,16.75,,-0.757,0.096
series_a,2019-01-15T21:46:37.000Z,16.5625,,0.141,0.634
series_a,2019-01-15T21:51:37.000Z,16.5,,0.909,0.012
series_a,2019-01-15T21:56:37.000Z,16.3125,,0.841,0.752
series_a,2019-01-15T22:01:37.000Z,16.1875,,-0.0,0.194
series_a,2019-01-15T22:06:37.000Z,16.25,,-0.841,0.576
series_a,2019-01-15T22:11:37.000Z,16.1875,,-0.909,0.337
series_a,2019-01-15T22:16:37.000Z,16.1875,,-0.141,0.453
series_a,2019-01-15T22:21:37.000Z,16.1875,,0.757,0.604
series_a,2019-01-15T22:26:37.000Z,15.875,,0.959,0.846
series_a,2019-01-15T22:31:37.000Z,16.25,,0.279,0.968
series_a,2019-01-15T22:36:37.000Z,16.3125,,-0.657,0.564
series_a,2019-01-15T22:41:37.000Z,16.375,,-0.989,0.872
series_a,2019-01-15T22:46:37.000Z,16.3125,,-0.412,0.343
series_a,2019-01-15T22:51:37.000Z,16.4375,,0.544,0.452
series_a,2019-01-15T22:56:37.000Z,34.4375,biz,1.0,0.15
series_a,2019-01-15T23:01:37.000Z,43.8125,biz,0.537,0.329
series_a,2019-01-15T23:06:37.000Z,71.375,biz,-0.42,0.271
series_a,2019-01-15T23:11:37.000Z,97.4375,biz,-0.991,0.703
series_a,2019-01-15T23:16:37.000Z,119.125,biz,-0.65,0.978
series_a,2019-01-15T23:21:37.000Z,120.5,biz,0.288,0.625
series_a,2019-01-15T23:26:37.000Z,97.0,biz,0.961,0.082
series_a,2019-01-15T23:31:37.000Z,94.25,biz,0.751,0.972
series_a,2019-01-15T23:36:37.000Z,92.0,biz,-0.15,0.028
series_a,2019-01-15T23:41:37.000Z,94.5,biz,-0.913,0.171
series_a,2019-01-15T23:46:37.000Z,101.0625,biz,-0.837,0.941
series_a,2019-01-15T23:51:37.000Z,91.875,biz,0.009,0.851
series_a,2019-01-15T23:56:37.000Z,92.3125,biz,0.846,0.045
series_a,2019-01-16T00:01:37.000Z,85.6875,biz,0.906,0.806
series_a,2019-01-16T00:06:37.000Z,77.25,biz,0.132,0.944
series_a,2019-01-16T00:11:37.000Z,68.875,biz,-0.763,0.319
series_a,2019-01-16T00:16:37.000Z,63.5625,biz,-0.956,0.53
series_a,2019-01-16T00:21:37.000Z,58.75,biz,-0.271,0.685
series_a,2019-01-16T00:26:37.000Z,55.8125,biz,0.664,0.651
series_a,2019-01-16T00:31:37.000Z,51.625,biz,0.988,0.547
series_a,2019-01-16T00:36:37.000Z,48.6875,biz,0.404,0.163
series_a,2019-01-16T00:41:37.000Z,45.75,biz,-0.551,0.429
series_a,2019-01-16T00:46:37.000Z,43.875,biz,-1.0,0.058
series_a,2019-01-16T00:51:37.000Z,42.4375,biz,-0.529,0.155
series_a,2019-01-16T00:56:37.000Z,41.6875,biz,0.428,0.274
series_a,2019-01-16T01:01:37.000Z,40.0625,biz,0.992,0.399
series_a,2019-01-16T01:06:37.000Z,38.375,biz,0.644,0.581
series_a,2019-01-16T01:11:37.000Z,37.8125,biz,-0.296,0.721
series_a,2019-01-16T01:16:37.000Z,37.5625,biz,-0.964,0.113
